Game ID,Date,Week,Team,Opponent,Pass Yards,Pass TD,Rush Attempts,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD,Targets,PPR Points,Offensive Yards,Total TD Made,Pass Yards Allowed,Passing TD Allowed,Rush Attempts Allowed,Rush Yards Allowed,Rushing TD Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,Targets Allowed,Offensive Yards Allowed,Total TD Allowed
401872926,2026-09-13,1,ARI,LAC,277,1,34,116,1,27,277,1,37,93.38,393,2,209,1,21,81,1,17,209,1,27,290,2
401872658,2026-09-13,1,ATL,PIT,143,1,31,120,0,12,143,1,19,50.02,263,1,221,1,21,58,0,24,221,1,37,279,1
401872659,2026-09-13,1,BAL,IND,324,1,37,202,4,17,324,1,24,116.56,526,5,166,1,20,102,2,19,166,1,29,268,3
401872660,2026-09-13,1,BUF,HOU,334,2,21,86,2,20,334,2,28,107.36,420,4,274,2,32,124,2,26,274,2,37,398,4
401872661,2026-09-13,1,CAR,CHI,361,3,22,125,2,23,361,3,34,126.03999999999999,486,5,269,2,39,291,6,21,269,2,26,560,8
401872661,2026-09-13,1,CHI,CAR,269,2,39,291,6,21,269,2,26,143.76,560,8,361,3,22,125,2,23,361,3,34,486,5
401872925,2026-09-13,1,CIN,TB,254,1,27,106,1,25,254,1,34,85.16,360,2,216,0,20,89,2,23,216,0,27,305,2
401872922,2026-09-13,1,CLE,JAX,205,1,22,87,0,16,205,1,22,61.4,292,1,245,4,32,126,0,18,245,4,21,371,4
401872930,2026-09-14,1,DAL,NYG,175,2,18,69,1,22,175,2,30,77.4,244,3,230,3,37,165,1,23,230,3,29,395,4
401872931,2026-09-15,1,DEN,KC,131,1,15,61,0,17,131,1,27,49.44,192,1,184,2,38,220,2,15,184,2,25,404,4
401872923,2026-09-13,1,DET,NO,206,2,33,165,2,26,206,2,39,103.34,371,4,410,3,25,91,1,35,410,3,52,501,4
401872927,2026-09-13,1,GB,MIN,387,2,21,66,0,21,387,2,40,99.78,453,2,151,3,34,107,2,15,151,3,23,258,5
401872660,2026-09-13,1,HOU,BUF,274,2,32,124,2,26,274,2,37,108.76,398,4,334,2,21,86,2,20,334,2,28,420,4
401872659,2026-09-13,1,IND,BAL,166,1,20,102,2,19,166,1,29,72.44,268,3,324,1,37,202,4,17,324,1,24,526,5
401872922,2026-09-13,1,JAX,CLE,245,4,32,126,0,18,245,4,21,104.9,371,4,205,1,22,87,0,16,205,1,22,292,1
401872931,2026-09-15,1,KC,DEN,184,2,38,220,2,15,184,2,25,92.76,404,4,131,1,15,61,0,17,131,1,27,192,1
401872926,2026-09-13,1,LAC,ARI,209,1,21,81,1,17,209,1,27,68.36,290,2,277,1,34,116,1,27,277,1,37,393,2
401872657,2026-09-11,1,LAR,SF,168,0,29,122,1,17,168,0,27,56.72,290,1,205,3,30,174,0,25,205,3,34,379,3
401872928,2026-09-13,1,LV,MIA,160,3,37,130,0,21,160,3,29,82.4,290,3,220,0,18,74,1,15,220,0,27,294,1
